gene_id,gene_name
ENSG00000211459,MT-RNR1
ENSG00000211598,IGKV4-1
ENSG00000211638,IGLV8-61
ENSG00000211639,IGLV4-60
ENSG00000211640,IGLV6-57
ENSG00000211643,IGLV5-52
ENSG00000211644,IGLV1-51
ENSG00000211669,IGLV3-10
ENSG00000211677,IGLC2
ENSG00000211679,IGLC3
ENSG00000211683,KB-1572G7.3
ENSG00000211695,TRGV9
ENSG00000211697,TRGV5
ENSG00000211698,TRGV4
ENSG00000211699,TRGV3
ENSG00000211772,TRBC2
ENSG00000211891,IGHE
ENSG00000211895,IGHA1
ENSG00000211898,IGHD
ENSG00000211899,IGHM
ENSG00000211949,IGHV3-23
ENSG00000211950,IGHV1-24
ENSG00000211956,IGHV4-34
ENSG00000212125,TAS2R15
ENSG00000212128,TAS2R13
ENSG00000212195,U3
ENSG00000212232,SNORD17
ENSG00000212402,SNORA74B
ENSG00000212443,SNORA53
ENSG00000212663,RP1-122K4.3
ENSG00000212664,RP11-592N21.1
ENSG00000212694,AC084018.1
ENSG00000212719,C17orf51
ENSG00000212743,DKFZP667F0711
ENSG00000212789,ST13P5
ENSG00000212802,RPL15P3
ENSG00000212932,RPL23AP4
ENSG00000212952,BX088651.1
ENSG00000212978,AC016747.3
ENSG00000212993,POU5F1B
ENSG00000213013,RPS15AP36
ENSG00000213025,COX20P1
ENSG00000213029,SPHAR
ENSG00000213033,AURKAPS1
ENSG00000213048,OR5S1P
ENSG00000213057,C1orf220
ENSG00000213058,RP4-765C7.2
ENSG00000213060,RP4-612B18.3
ENSG00000213062,AL021068.1
ENSG00000213071,LPAL2
ENSG00000213073,RP11-288H12.3
ENSG00000213076,yR211F11.2
ENSG00000213078,RP5-933K21.2
ENSG00000213080,RP11-312J18.5
ENSG00000213089,PDCL3P5
ENSG00000213090,AC007256.5
ENSG00000213117,RP3-352A20.1
ENSG00000213120,LIN28AP1
ENSG00000213121,AL590867.1
ENSG00000213131,YWHAZP4
ENSG00000213137,ARF1P2
ENSG00000213140,ELK2AP
ENSG00000213147,RPL23AP60
ENSG00000213149,CNN2P9
ENSG00000213152,RPL7AP60
ENSG00000213185,FAM24B
ENSG00000213188,YBX1P4
ENSG00000213197,AC012066.1
ENSG00000213204,C6orf165
ENSG00000213222,AC093724.2
ENSG00000213228,RPL12P38
ENSG00000213235,EEF1A1P16
ENSG00000213240,NOTCH2NL
ENSG00000213250,RBMS2P1
ENSG00000213252,RP11-819M15.1
ENSG00000213253,CTC-250I14.1
ENSG00000213261,AC093106.7
ENSG00000213270,RPL6P25
ENSG00000213272,RP11-613M5.1
ENSG00000213279,RP1-29C18.9
ENSG00000213290,PGK1P2
ENSG00000213300,HNRNPA3P6
ENSG00000213304,CTC-398G3.1
ENSG00000213305,HNRNPCP6
ENSG00000213326,RPS7P11
ENSG00000213338,ATF4P1
ENSG00000213362,FTH1P12
ENSG00000213363,RPS3P6
ENSG00000213385,RP11-577H5.1
ENSG00000213411,RBM22P2
ENSG00000213430,HSPD1P1
ENSG00000213433,RP11-54C4.1
ENSG00000213434,VTI1BP2
